# Azan times for 2026, one line per day from January 1 to December 31.
# Each line is minutes past midnight for:
# Fajr,Shrooq,Zuhr,Asr,Maghreb,Isha
391,475,750,885,1023,1108
391,475,750,886,1024,1109
391,475,751,886,1024,1109
391,475,751,887,1025,1110
391,475,752,888,1026,1111
391,475,752,889,1027,1112
391,475,753,890,1028,1113
391,475,753,891,1029,1114
391,474,753,892,1031,1115
391,474,754,893,1032,1116
390,474,754,894,1033,1117
390,473,755,895,1034,1118
390,473,755,896,1035,1119
390,472,755,897,1036,1120
389,472,756,898,1037,1121
389,471,756,899,1039,1122
388,471,756,900,1040,1123
388,470,757,901,1041,1124
387,470,757,902,1042,1125
387,469,757,904,1044,1126
386,468,757,905,1045,1127
386,468,758,906,1046,1129
385,467,758,907,1047,1130
385,466,758,908,1049,1131
384,465,758,909,1050,1132
383,464,759,910,1051,1133
382,463,759,911,1053,1134
382,462,759,912,1054,1135
381,462,759,914,1055,1137
380,461,759,915,1057,1138
379,460,760,916,1058,1139
378,458,760,917,1059,1140
377,457,760,918,1061,1141
376,456,760,919,1062,1143
375,455,760,920,1063,1144
374,454,760,921,1065,1145
373,453,760,922,1066,1146
372,452,760,923,1067,1147
371,450,760,924,1069,1148
370,449,760,926,1070,1150
369,448,760,927,1071,1151
367,446,760,928,1073,1152
366,445,760,929,1074,1153
365,444,760,930,1075,1154
364,442,760,931,1077,1156
362,441,760,932,1078,1157
361,439,760,933,1079,1158
360,438,760,934,1080,1159
358,437,760,935,1082,1160
357,435,760,936,1083,1162
355,434,760,937,1084,1163
354,432,760,938,1086,1164
353,431,759,938,1087,1165
351,429,759,939,1088,1167
350,427,759,940,1089,1168
348,426,759,941,1091,1169
346,424,759,942,1092,1170
345,423,759,943,1093,1171
343,421,758,944,1095,1173
342,419,758,945,1096,1174
340,418,758,945,1097,1175
338,416,758,946,1098,1176
337,414,758,947,1100,1178
335,413,757,948,1101,1179
333,411,757,949,1102,1180
332,409,757,949,1103,1181
390,468,817,1010,1164,1242
388,466,816,1011,1166,1244
386,464,816,1012,1167,1245
385,463,816,1012,1168,1246
383,461,816,1013,1169,1247
381,459,815,1014,1170,1249
379,457,815,1015,1172,1250
377,456,815,1015,1173,1251
376,454,815,1016,1174,1252
374,452,814,1016,1175,1254
372,450,814,1017,1176,1255
370,449,814,1018,1178,1256
368,447,813,1018,1179,1258
366,445,813,1019,1180,1259
364,443,813,1020,1181,1260
362,441,812,1020,1182,1261
361,440,812,1021,1183,1263
359,438,812,1021,1185,1264
357,436,812,1022,1186,1265
355,434,811,1022,1187,1267
353,433,811,1023,1188,1268
351,431,811,1024,1189,1269
349,429,810,1024,1190,1271
347,427,810,1025,1192,1272
345,426,810,1025,1193,1273
343,424,809,1026,1194,1275
341,422,809,1026,1195,1276
339,420,809,1027,1196,1277
337,419,809,1027,1197,1279
335,417,808,1027,1199,1280
333,415,808,1028,1200,1282
331,413,808,1028,1201,1283
329,412,807,1029,1202,1284
327,410,807,1029,1203,1286
325,408,807,1030,1204,1287
323,407,807,1030,1205,1289
321,405,806,1031,1207,1290
319,403,806,1031,1208,1292
318,402,806,1031,1209,1293
316,400,806,1032,1210,1295
314,398,805,1032,1211,1296
312,397,805,1033,1212,1298
310,395,805,1033,1214,1299
308,394,805,1033,1215,1301
306,392,805,1034,1216,1302
304,391,804,1034,1217,1304
302,389,804,1034,1218,1305
300,388,804,1035,1219,1307
298,386,804,1035,1220,1308
296,385,804,1036,1222,1310
295,383,804,1036,1223,1311
293,382,803,1036,1224,1313
291,380,803,1037,1225,1315
289,379,803,1037,1226,1316
287,377,803,1037,1227,1317
285,376,803,1038,1229,1318
284,375,803,1038,1230,1319
282,373,803,1038,1231,1320
280,372,803,1039,1232,1321
278,371,803,1039,1233,1323
277,370,803,1039,1234,1323
275,368,803,1040,1235,1325
273,367,802,1040,1236,1325
272,366,802,1040,1237,1327
270,365,802,1041,1239,1327
269,364,802,1041,1240,1328
267,363,802,1041,1241,1330
266,362,802,1042,1242,1330
264,360,802,1042,1243,1332
263,359,802,1042,1244,1332
261,358,802,1043,1245,1334
260,357,802,1043,1246,1334
258,357,803,1043,1247,1336
257,356,803,1044,1248,1336
256,355,803,1044,1249,1337
254,354,803,1044,1250,1338
253,353,803,1045,1251,1338
252,352,803,1045,1252,1340
251,352,803,1045,1253,1340
250,351,803,1046,1254,1341
249,350,803,1046,1255,1342
248,350,803,1046,1255,1343
247,349,804,1047,1256,1343
246,349,804,1047,1257,1345
245,348,804,1047,1258,1345
244,347,804,1048,1259,1346
243,347,804,1048,1259,1347
242,347,804,1048,1260,1348
242,346,804,1049,1261,1349
241,346,805,1049,1262,1350
240,346,805,1049,1262,1351
240,345,805,1049,1263,1352
239,345,805,1050,1264,1352
239,345,805,1050,1264,1353
238,345,806,1050,1265,1354
238,344,806,1051,1265,1355
238,344,806,1051,1266,1355
238,344,806,1051,1266,1356
238,344,806,1051,1267,1356
237,344,807,1052,1267,1357
237,344,807,1052,1267,1357
237,344,807,1052,1268,1358
237,344,807,1052,1268,1358
238,345,808,1053,1268,1358
238,345,808,1053,1269,1358
238,345,808,1053,1269,1359
238,345,808,1053,1269,1359
239,346,808,1053,1269,1359
239,346,809,1054,1269,1359
240,346,809,1054,1269,1359
240,347,809,1054,1269,1359
241,347,809,1054,1269,1359
241,347,809,1054,1269,1358
242,348,810,1054,1269,1358
243,348,810,1054,1269,1358
244,349,810,1055,1269,1358
244,349,810,1055,1269,1357
245,350,810,1055,1268,1357
246,351,811,1055,1268,1356
247,351,811,1055,1268,1356
248,352,811,1055,1267,1355
249,353,811,1055,1267,1355
250,353,811,1055,1267,1354
251,354,811,1055,1266,1353
253,355,812,1055,1266,1352
254,356,812,1055,1265,1352
255,356,812,1055,1265,1351
256,357,812,1055,1264,1350
257,358,812,1055,1263,1349
259,359,812,1055,1263,1348
260,360,812,1054,1262,1347
261,361,812,1054,1261,1346
263,361,812,1054,1261,1345
264,362,812,1054,1260,1343
266,363,812,1054,1259,1342
267,364,813,1054,1258,1341
268,365,813,1053,1257,1340
270,366,813,1053,1256,1339
271,367,813,1053,1255,1337
273,368,813,1053,1254,1336
274,369,813,1052,1253,1335
276,370,813,1052,1252,1333
277,371,813,1052,1251,1332
279,372,813,1051,1250,1330
280,373,812,1051,1249,1329
282,374,812,1050,1248,1327
283,375,812,1050,1247,1326
285,376,812,1050,1245,1325
286,377,812,1049,1244,1323
288,378,812,1049,1243,1323
289,380,812,1048,1242,1321
291,381,812,1048,1240,1320
293,382,812,1047,1239,1319
294,383,812,1046,1238,1317
296,384,812,1046,1236,1315
297,385,811,1045,1235,1315
299,386,811,1045,1234,1313
300,387,811,1044,1232,1312
302,388,811,1043,1231,1310
303,389,811,1043,1229,1309
305,390,810,1042,1228,1308
306,391,810,1041,1226,1306
308,393,810,1040,1225,1305
309,394,810,1040,1223,1303
310,395,810,1039,1222,1302
312,396,809,1038,1220,1301
313,397,809,1037,1218,1299
315,398,809,1036,1217,1298
316,399,809,1035,1215,1296
318,400,808,1035,1214,1294
319,401,808,1034,1212,1293
321,402,808,1033,1210,1291
322,403,807,1032,1209,1289
323,405,807,1031,1207,1289
325,406,807,1030,1205,1287
326,407,807,1029,1204,1286
327,408,806,1028,1202,1284
329,409,806,1027,1200,1282
330,410,806,1026,1198,1280
331,411,805,1025,1197,1278
333,412,805,1024,1195,1276
334,413,805,1023,1193,1274
335,414,804,1022,1191,1272
337,415,804,1020,1190,1270
338,416,804,1019,1188,1268
339,418,803,1018,1186,1266
341,419,803,1017,1184,1264
342,420,803,1016,1183,1262
343,421,802,1015,1181,1260
344,422,802,1014,1179,1258
346,423,801,1012,1177,1256
347,424,801,1011,1175,1254
348,425,801,1010,1174,1252
349,426,800,1009,1172,1250
351,427,800,1007,1170,1248
352,428,800,1006,1168,1246
353,430,799,1005,1166,1245
354,431,799,1004,1165,1243
355,432,799,1002,1163,1241
357,433,798,1001,1161,1239
358,434,798,1000,1159,1237
359,435,798,999,1157,1235
360,436,797,997,1156,1233
361,437,797,996,1154,1231
363,438,797,995,1152,1230
364,440,796,994,1150,1228
365,441,796,992,1148,1226
366,442,796,991,1147,1224
367,443,795,990,1145,1222
368,444,795,988,1143,1221
369,445,795,987,1141,1219
371,446,794,986,1140,1217
372,447,794,984,1138,1215
373,449,794,983,1136,1214
374,450,793,982,1135,1212
375,451,793,981,1133,1210
376,452,793,979,1131,1209
377,453,793,978,1129,1207
379,454,792,977,1128,1205
380,456,792,975,1126,1204
381,457,792,974,1124,1202
382,458,792,973,1123,1200
383,459,792,972,1121,1199
384,460,791,970,1120,1197
385,462,791,969,1118,1196
387,463,791,968,1116,1194
388,464,791,967,1115,1193
389,465,791,966,1113,1191
390,466,790,964,1112,1190
391,468,790,963,1110,1189
392,469,790,962,1109,1187
393,470,790,961,1107,1186
394,471,790,960,1106,1185
396,473,790,959,1105,1183
397,474,790,957,1103,1182
398,475,790,956,1102,1181
399,476,790,955,1100,1179
400,478,790,954,1099,1178
341,419,730,893,1038,1117
342,420,730,892,1036,1116
343,421,730,891,1035,1115
345,423,730,890,1034,1114
346,424,730,889,1033,1113
347,425,730,888,1032,1112
348,426,730,887,1030,1111
349,428,730,886,1029,1110
350,429,730,886,1028,1109
351,430,730,885,1027,1108
352,432,730,884,1026,1107
353,433,730,883,1025,1106
354,434,730,882,1024,1105
356,435,731,882,1023,1104
357,437,731,881,1022,1104
358,438,731,880,1021,1103
359,439,731,879,1020,1102
360,440,731,879,1020,1102
361,442,732,878,1019,1101
362,443,732,878,1018,1100
363,444,732,877,1017,1100
364,445,732,877,1017,1099
365,446,733,876,1016,1099
366,448,733,876,1016,1099
367,449,733,875,1015,1098
368,450,733,875,1014,1098
369,451,734,875,1014,1097
370,452,734,874,1014,1097
371,453,735,874,1013,1097
372,454,735,874,1013,1097
373,456,735,874,1013,1096
374,457,736,873,1012,1096
375,458,736,873,1012,1096
376,459,736,873,1012,1096
376,460,737,873,1012,1096
377,461,737,873,1012,1096
378,462,738,873,1011,1096
379,463,738,873,1011,1096
380,463,739,873,1011,1096
381,464,739,873,1011,1096
381,465,739,874,1012,1097
382,466,740,874,1012,1097
383,467,740,874,1012,1097
383,467,741,874,1012,1097
384,468,741,875,1012,1098
385,469,742,875,1013,1098
385,470,742,875,1013,1098
386,470,743,876,1013,1099
386,471,743,876,1014,1099
387,471,744,877,1014,1100
387,472,744,877,1015,1100
388,472,745,878,1015,1101
388,473,745,878,1016,1101
389,473,746,879,1016,1102
389,474,746,879,1017,1102
389,474,747,880,1018,1103
390,474,747,881,1018,1104
390,474,748,881,1019,1104
390,475,748,882,1020,1105
391,475,749,883,1021,1106
391,475,749,884,1022,1107
